show_id,title,type,rating,release_year,date_added
s1,Dick Johnson Is Dead,Movie,PG-13,2020,2021-09-25
s2,Blood & Water,TV Show,TV-MA,2021,2021-09-24
s3,Ganglands,TV Show,TV-MA,2021,2021-09-24
s4,Jailbirds New Orleans,TV Show,TV-MA,2021,2021-09-24
s5,Kota Factory,TV Show,TV-MA,2021,2021-09-24
s6,Midnight Mass,TV Show,TV-MA,2021,2021-09-24
s7,My Little Pony: A New Generation,Movie,PG,2021,2021-09-24
s8,Sankofa,Movie,TV-MA,1993,2021-09-24
s9,The Great British Baking Show,TV Show,TV-14,2021,2021-09-24
s10,The Starling,Movie,PG-13,2021,2021-09-24
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,TV-MA,2021,2021-09-24
s12,Bangkok Breaking,TV Show,TV-MA,2021,2021-09-23
s13,Je Suis Karl,Movie,TV-MA,2021,2021-09-23
s14,Confessions of an Invisible Girl,Movie,TV-PG,2021,2021-09-22
s15,Crime Stories: India Detectives,TV Show,TV-MA,2021,2021-09-22
s16,Dear White People,TV Show,TV-MA,2021,2021-09-22
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,TV-MA,2020,2021-09-22
s18,Falsa identidad,TV Show,TV-MA,2020,2021-09-22
s19,Intrusion,Movie,TV-14,2021,2021-09-22
s20,Jaguar,TV Show,TV-MA,2021,2021-09-22
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,TV-14,2021,2021-09-22
s22,Resurrection: Ertugrul,TV Show,TV-14,2018,2021-09-22
s23,Avvai Shanmughi,Movie,TV-PG,1996,2021-09-21
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,TV-Y,2021,2021-09-21
s25,Jeans,Movie,TV-14,1998,2021-09-21
s26,Love on the Spectrum,TV Show,TV-14,2021,2021-09-21
s27,Minsara Kanavu,Movie,TV-PG,1997,2021-09-21
s28,Grown Ups,Movie,PG-13,2010,2021-09-20
s29,Dark Skies,Movie,PG-13,2013,2021-09-19
s30,Paranoia,Movie,PG-13,2013,2021-09-19
s31,Ankahi Kahaniya,Movie,TV-14,2021,2021-09-17
s32,Chicago Party Aunt,TV Show,TV-MA,2021,2021-09-17
s33,Sex Education,TV Show,TV-MA,2020,2021-09-17
s34,Squid Game,TV Show,TV-MA,2021,2021-09-17
s35,Tayo and Little Wizards,TV Show,TV-Y7,2020,2021-09-17
s36,The Father Who Moves Mountains,Movie,TV-MA,2021,2021-09-17
s37,The Stronghold,Movie,TV-MA,2021,2021-09-17
s38,Angry Birds,TV Show,TV-Y7,2018,2021-09-16
s39,Birth of the Dragon,Movie,PG-13,2017,2021-09-16
s40,Chhota Bheem,TV Show,TV-Y7,2021,2021-09-16
s41,He-Man and the Masters of the Universe,TV Show,TV-Y7,2021,2021-09-16
s42,Jaws,Movie,PG,1975,2021-09-16
s43,Jaws 2,Movie,PG,1978,2021-09-16
s44,Jaws 3,Movie,PG,1983,2021-09-16
s45,Jaws: The Revenge,Movie,PG-13,1987,2021-09-16
s46,My Heroes Were Cowboys,Movie,PG,2021,2021-09-16
s47,Safe House,Movie,R,2012,2021-09-16
s48,The Smart Money Woman,TV Show,TV-MA,2020,2021-09-16
s49,Training Day,Movie,R,2001,2021-09-16
s50,Castle and Castle,TV Show,TV-MA,2021,2021-09-15
s51,Dharmakshetra,TV Show,TV-PG,2014,2021-09-15
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,TV-14,2002,2021-09-15
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,TV-14,2003,2021-09-15
s54,InuYasha the Movie 4: Fire on the Mystic Island,Movie,TV-PG,2004,2021-09-15
s55,InuYasha the Movie: Affections Touching Across Time,Movie,TV-PG,2001,2021-09-15
s56,Nailed It,TV Show,TV-PG,2021,2021-09-15
s57,Naruto Shippuden the Movie: Blood Prison,Movie,TV-14,2011,2021-09-15
s58,Naruto Shippûden the Movie: Bonds,Movie,TV-PG,2008,2021-09-15
s59,Naruto Shippûden the Movie: The Will of Fire,Movie,TV-PG,2009,2021-09-15
s60,Naruto Shippuden: The Movie,Movie,TV-PG,2007,2021-09-15
s61,Naruto Shippuden: The Movie: The Lost Tower,Movie,TV-14,2010,2021-09-15
s62,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,TV-PG,2005,2021-09-15
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,TV-PG,2006,2021-09-15
s64,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,TV-PG,2004,2021-09-15
s65,Nightbooks,Movie,TV-PG,2021,2021-09-15
