user_id,persona,tenure_days,obs_total_sessions,obs_avg_sessions_per_week,obs_recent_30d_sessions,obs_prior_30d_sessions,obs_session_trend_ratio,obs_days_since_last_watch,avg_completion_rate,genre_diversity,favorite_genre,churned_next_30d
1,weekend_watcher,147,52,6.066666666666666,18,34,0.5294117647058824,2,0.7063133530020262,7,Stand-Up Comedy,0
2,casual_viewer,397,69,8.05,29,40,0.725,0,0.5479433044243078,7,Documentaries,0
3,weekend_watcher,503,50,5.833333333333334,29,21,1.380952380952381,0,0.6902226544265271,8,Stand-Up Comedy,0
4,churning_user,285,23,2.6833333333333336,5,18,0.2777777777777778,0,0.29955740222304533,8,Thrillers,0
5,power_binger,202,184,21.46666666666667,96,88,1.0909090909090908,0,0.850173165420422,7,Crime TV Shows,0
6,new_user,23,0,0.0,0,0,0.0,60,0.0,15,TV Dramas,0
7,weekend_watcher,680,63,7.3500000000000005,30,33,0.9090909090909091,1,0.6724681856092188,6,Stand-Up Comedy,0
8,weekend_watcher,485,46,5.366666666666667,22,24,0.9166666666666666,0,0.6541984708625566,8,Stand-Up Comedy,0
9,power_binger,407,185,21.583333333333336,95,90,1.0555555555555556,0,0.8446209238180681,4,Thrillers,0
10,casual_viewer,554,61,7.116666666666667,24,37,0.6486486486486487,0,0.5794613621108594,7,Romantic Movies,0
11,casual_viewer,603,49,5.716666666666667,27,22,1.2272727272727273,0,0.5953285450130933,6,Romantic Movies,0
12,new_user,9,0,0.0,0,0,0.0,60,0.0,10,Horror Movies,0
13,churning_user,293,39,4.55,3,36,0.08333333333333333,1,0.3418904921891001,5,Crime TV Shows,0
14,weekend_watcher,491,48,5.6000000000000005,28,20,1.4,1,0.6895990155098647,4,Romantic Movies,0
15,casual_viewer,348,68,7.933333333333334,29,39,0.7435897435897436,0,0.6100345040264191,5,Romantic Movies,0
16,casual_viewer,577,72,8.4,33,39,0.8461538461538461,0,0.572485384514045,4,Comedies,0
17,churning_user,110,43,5.016666666666667,11,32,0.34375,10,0.3047112860951494,3,Thrillers,0
18,power_binger,339,161,18.783333333333335,82,79,1.0379746835443038,0,0.8596229221585255,4,Crime TV Shows,0
19,weekend_watcher,722,50,5.833333333333334,27,23,1.173913043478261,0,0.6871070723757323,9,Stand-Up Comedy,0
20,churning_user,181,25,2.916666666666667,4,21,0.19047619047619047,18,0.2497617526736596,7,Crime TV Shows,1
21,weekend_watcher,424,44,5.133333333333334,21,23,0.9130434782608695,0,0.6886970511308118,6,Stand-Up Comedy,0
22,casual_viewer,404,72,8.4,42,30,1.4,0,0.5677966034128814,5,Comedies,0
23,new_user,2,0,0.0,0,0,0.0,60,0.0,8,Reality TV,0
24,weekend_watcher,362,53,6.183333333333334,28,25,1.12,0,0.642717899405293,8,Stand-Up Comedy,0
25,weekend_watcher,668,49,5.716666666666667,17,32,0.53125,0,0.686369165431194,7,Children & Family Movies,0
26,power_binger,422,189,22.05,108,81,1.3333333333333333,0,0.860229299011601,9,Crime TV Shows,0
27,casual_viewer,369,56,6.533333333333333,28,28,1.0,0,0.6243654313184243,3,Romantic Movies,0
28,power_binger,595,161,18.783333333333335,87,74,1.1756756756756757,0,0.8519399759892394,4,Crime TV Shows,0
29,power_binger,680,156,18.2,79,77,1.025974025974026,0,0.8589991794639965,8,Thrillers,0
30,churning_user,406,43,5.016666666666667,9,34,0.2647058823529412,6,0.28895336758946166,7,TV Dramas,0
31,weekend_watcher,680,59,6.883333333333334,27,32,0.84375,1,0.7096679584683491,6,Romantic Movies,0
32,new_user,22,0,0.0,0,0,0.0,60,0.0,9,Dramas,0
33,casual_viewer,570,67,7.816666666666667,28,39,0.717948717948718,0,0.5813535157310288,3,Documentaries,0
34,casual_viewer,450,62,7.233333333333333,23,39,0.5897435897435898,0,0.5837911091541876,6,Documentaries,0
35,casual_viewer,256,74,8.633333333333333,37,37,1.0,0,0.6046465838989065,7,Documentaries,0
36,power_binger,407,164,19.133333333333333,86,78,1.1025641025641026,0,0.8476267129756904,5,Crime TV Shows,0
37,power_binger,665,169,19.71666666666667,79,90,0.8777777777777778,0,0.8415841076956122,8,Thrillers,0
38,casual_viewer,376,51,5.95,23,28,0.8214285714285714,1,0.5997897353127937,8,Documentaries,0
39,casual_viewer,475,48,5.6000000000000005,32,16,2.0,1,0.5689147084809115,7,Romantic Movies,0
40,churning_user,167,34,3.966666666666667,6,28,0.21428571428571427,11,0.31887521616174713,6,Thrillers,0
41,casual_viewer,466,61,7.116666666666667,24,37,0.6486486486486487,0,0.5876031381298532,4,Romantic Movies,0
42,weekend_watcher,196,46,5.366666666666667,24,22,1.0909090909090908,1,0.711850858131517,9,Stand-Up Comedy,0
43,weekend_watcher,372,47,5.483333333333333,22,25,0.88,1,0.6967175687488761,8,Stand-Up Comedy,0
44,casual_viewer,376,71,8.283333333333333,42,29,1.4482758620689655,2,0.6033730777309795,5,Romantic Movies,0
45,weekend_watcher,632,41,4.783333333333333,25,16,1.5625,0,0.6960425965866076,5,Kids' TV,0
46,weekend_watcher,433,51,5.95,21,30,0.7,0,0.7293244194130563,4,Kids' TV,0
47,casual_viewer,662,60,7.0,26,34,0.7647058823529411,2,0.638542700074242,8,Comedies,0
48,casual_viewer,106,66,7.7,38,28,1.3571428571428572,0,0.5771197625218445,8,Documentaries,0
49,churning_user,203,35,4.083333333333333,7,28,0.25,15,0.3113820081857474,6,TV Dramas,0
50,power_binger,547,167,19.483333333333334,79,88,0.8977272727272727,2,0.8501251821239844,5,TV Dramas,0
51,power_binger,198,169,19.71666666666667,101,68,1.4852941176470589,0,0.8571563741280566,9,Thrillers,0
52,power_binger,612,160,18.666666666666668,75,85,0.8823529411764706,0,0.849411418722131,8,Thrillers,0
53,weekend_watcher,354,64,7.466666666666667,33,31,1.064516129032258,0,0.6855496196839509,6,Children & Family Movies,0
54,churning_user,470,31,3.6166666666666667,9,22,0.4090909090909091,12,0.3118856075387995,3,TV Dramas,0
55,weekend_watcher,589,53,6.183333333333334,21,32,0.65625,2,0.6872155061259436,6,Stand-Up Comedy,0
56,weekend_watcher,701,59,6.883333333333334,30,29,1.0344827586206897,0,0.7579820600909307,5,Kids' TV,0
57,casual_viewer,516,82,9.566666666666666,38,44,0.8636363636363636,1,0.6168515155483352,3,Romantic Movies,0
58,churning_user,119,33,3.85,3,30,0.1,14,0.3221445982530833,4,Thrillers,1
59,power_binger,218,165,19.25,87,78,1.1153846153846154,0,0.8488156851577064,7,TV Dramas,0
60,power_binger,715,170,19.833333333333332,77,93,0.8279569892473119,0,0.8470378990217184,5,Sci-Fi & Fantasy,0
61,churning_user,92,38,4.433333333333334,8,30,0.26666666666666666,6,0.2784100310424999,7,Thrillers,1
62,casual_viewer,259,76,8.866666666666667,41,35,1.1714285714285715,0,0.5760489108359128,4,Documentaries,0
63,churning_user,381,30,3.5,8,22,0.36363636363636365,8,0.2914576665601651,6,Crime TV Shows,0
64,weekend_watcher,155,60,7.0,29,31,0.9354838709677419,0,0.7100359943206553,4,Children & Family Movies,0
65,churning_user,447,28,3.2666666666666666,5,23,0.21739130434782608,22,0.2656186256891439,3,Thrillers,0
66,churning_user,208,32,3.7333333333333334,6,26,0.23076923076923078,2,0.2500806405296644,8,TV Dramas,0
67,churning_user,157,33,3.85,6,27,0.2222222222222222,6,0.31699989303143594,5,Thrillers,0
